Date,Residential,Workplace,Transit,Retail,Park,Grocery,Humid,Precip,Sun,Temp,Wind
2020-03-01,0,1,5,21,-5,-7,81.83967391304348,1.60536398467433,6.266666666666666,5.2984929078014185,10.372756410256429
2020-03-02,0,1.5,3,16,11.5,-6,84.9318486137366,1.054034806189979,9.342083333333331,4.992990672217083,7.404649426660306
2020-03-03,0,1.6666666666666667,1.6666666666666667,14,10.666666666666666,-5.666666666666667,87.57686147868095,1.6622190730680029,7.139009661835748,4.876002800904512,6.203868715825244
2020-03-04,0,1.75,1.5,12.75,12,-5.5,88.2990213453056,1.2958096039463014,8.218451086956522,4.7182142306506325,5.738581481923878
2020-03-05,0,1.8,1,12.2,15.6,-5,88.74465185885317,1.0798295013388592,8.474594202898553,4.509606845513414,5.3229714126453285
2020-03-06,0,1.6666666666666667,0.5,11.333333333333334,14.833333333333334,-4.666666666666667,88.7512668031926,0.930925169244371,7.572439613526572,4.380209939356562,5.5523537452885305
2020-03-07,-0.14285714285714285,1.5714285714285714,1.4285714285714286,11.142857142857142,19.428571428571427,-4.285714285714286,88.79339949590423,0.8311898276062862,8.195543478260872,4.312767334038147,5.349145962732922
2020-03-08,-0.14285714285714285,1.1428571428571428,0.5714285714285714,9.714285714285714,19.142857142857142,-4.428571428571429,89.7550972184715,0.7320205243368988,7.511019668737062,4.522056847715959,5.138026130184516
2020-03-09,0,0.8571428571428571,0,8.857142857142858,17.142857142857142,-4.428571428571429,90.46912502191206,0.8893735886828953,6.297289964040538,4.764674347756532,5.164720448996356
2020-03-10,0.2857142857142857,0.5714285714285714,-0.8571428571428571,7.857142857142857,15,-4.285714285714286,90.70216805008741,1.0214348914800055,5.953904870872837,4.9957968753984865,5.8454674969794285
2020-03-11,0.5714285714285714,0.14285714285714285,-2.4285714285714284,7.285714285714286,16.285714285714285,-2.857142857142857,89.37842153825017,1.1402481219003788,7.146206192739375,5.386635384715257,6.580632332144265
2020-03-12,2.2857142857142856,-4.142857142857143,-7.428571428571429,4.285714285714286,9.714285714285714,0.7142857142857143,88.04806439539303,1.5257471337580863,7.205276705559888,5.742758738312015,7.977754257837616
2020-03-13,4.571428571428571,-10.571428571428571,-14,-0.7142857142857143,8.428571428571429,0.14285714285714285,86.67320504711685,1.7456789076372285,8.078106375889558,5.900911187543326,8.351178142441627
2020-03-14,5.857142857142857,-13,-20.142857142857142,-6.571428571428571,14,-0.8571428571428571,83.72470608231353,1.7144090663673874,9.950377438160622,5.801816709326507,8.474928796549424
2020-03-15,7,-15.857142857142858,-27.142857142857142,-12.857142857142858,13.857142857142858,-3.142857142857143,82.42734583386633,1.724204569934668,9.958756559039742,5.806768583693276,8.53359572485921
2020-03-16,9.285714285714286,-23,-34.142857142857146,-17,19,-4.428571428571429,81.20215028355388,1.6058995111545342,10.551393534002234,5.901480386326594,8.646609162059471
2020-03-17,11.571428571428571,-30.428571428571427,-41,-21,25.285714285714285,-4.428571428571429,80.00053447655054,1.0714636662348183,11.045807453416153,5.981492830712304,8.498495836461675
2020-03-18,14.142857142857142,-38,-48.285714285714285,-27.571428571428573,23.285714285714285,-8.142857142857142,81.17457691961472,1.1989521054307213,8.436718625577324,6.028997896568433,8.2715073487589
2020-03-19,15.142857142857142,-41.857142857142854,-51.42857142857143,-31.571428571428573,40.42857142857143,-14.142857142857142,81.16031708524619,0.7845669577789833,9.855216794075492,6.033991564248271,7.003905307942577
2020-03-20,15.857142857142858,-43.57142857142857,-53.42857142857143,-33.857142857142854,49.285714285714285,-16.285714285714285,80.13417836889009,0.5474829282607433,11.404667343526041,6.124258788159112,6.403885684708665
2020-03-21,16.285714285714285,-45.142857142857146,-56.142857142857146,-36.285714285714285,49.142857142857146,-18,79.13197857592942,0.550041407792907,11.645051958910656,6.0937813312188895,6.433889609355447
2020-03-22,16.428571428571427,-46,-57.57142857142857,-37,57.285714285714285,-18.142857142857142,76.80873841029796,0.41904471865161863,14.344914596273293,5.449005495352629,5.845938274975541
2020-03-23,16.714285714285715,-46.714285714285715,-58.714285714285715,-38.714285714285715,57.857142857142854,-19,73.149042954525,0.3153871371979845,17.074748168498168,4.777839652638451,5.8943775168930435
2020-03-24,16.857142857142858,-47.142857142857146,-59.42857142857143,-40.285714285714285,61.142857142857146,-21,69.08079311205492,0.3099183369923422,20.061927655677657,4.322591260497136,5.739326098332309
2020-03-25,16.714285714285715,-47.285714285714285,-59.142857142857146,-39.714285714285715,69.14285714285714,-20.571428571428573,64.42458530757207,0.035613004372402876,23.71771978021978,3.9477446127723663,5.376125918594862
2020-03-26,16.714285714285715,-47.285714285714285,-59.285714285714285,-39.285714285714285,67.28571428571429,-20.142857142857142,62.13113292661969,0.03421053987783312,24.953182234432237,3.696436355426875,5.307248367574454
2020-03-27,16.428571428571427,-47.142857142857146,-59.142857142857146,-38.57142857142857,71.85714285714286,-19.571428571428573,61.83377267817249,0.02864976293547723,26.088713369963372,3.666845423309347,5.1180476873023455
2020-03-28,16.285714285714285,-47.285714285714285,-59.285714285714285,-37.857142857142854,71,-18.571428571428573,63.531754044632116,0.026535101281341896,25.38026556776557,4.027325413177635,5.276812731781676
2020-03-29,16.285714285714285,-47.285714285714285,-59.285714285714285,-37.714285714285715,69,-18.142857142857142,62.34580683966317,0.061268902742087294,26.33562271062271,4.134164318952711,5.817753338793712
2020-03-30,16.142857142857142,-47.142857142857146,-59.142857142857146,-37.285714285714285,68.85714285714286,-17.857142857142858,62.91965973534972,0.06844186762181909,25.762711020863193,4.456213382670368,5.85677086888267
2020-03-31,15.857142857142858,-46.857142857142854,-58.285714285714285,-35.42857142857143,70.14285714285714,-15.857142857142858,64.12737982716716,0.09371802096814788,25.269185977066414,4.460718690806573,5.725695913817032
2020-04-01,15.857142857142858,-46.714285714285715,-58.142857142857146,-34.714285714285715,62.42857142857143,-15,67.84011676504251,0.17424089678514135,22.11491465315223,4.671780782155601,6.20116809026525
2020-04-02,16,-46.714285714285715,-58.42857142857143,-34.42857142857143,51,-14.428571428571429,69.7453962681481,0.2699259114206807,18.879337730075306,4.927296233016796,7.265257572211873
2020-04-03,16,-46.714285714285715,-58.42857142857143,-33.857142857142854,41.857142857142854,-13.285714285714286,69.46511676504251,0.297956827318019,18.022767217254792,4.842240508599369,8.049245013342171
2020-04-04,16,-46.285714285714285,-58,-33.142857142857146,39,-12.428571428571429,70.78874512943173,0.3179068209730426,17.196874360111938,4.844551805458538,7.819110267135996
2020-04-05,15.714285714285714,-45.57142857142857,-56.42857142857143,-31,50.857142857142854,-11,72.60124512943173,0.27428516133872477,17.49117381066139,5.61907688144638,7.3271230876488165
2020-04-06,15.428571428571429,-46.285714285714285,-55.42857142857143,-28.428571428571427,66.28571428571429,-9.142857142857142,72.51242075280018,0.297462424034621,18.597694554410396,6.469705708370306,7.289982562542453
2020-04-07,15.285714285714286,-47.142857142857146,-55,-27,80.14285714285714,-8,73.38823090672942,0.2696758279146915,19.9102443234819,7.234199012630031,7.07933084366092
2020-04-08,14.714285714285714,-48,-54,-23.714285714285715,97,-4.714285714285714,71.56824421640111,0.18923446217920817,22.84198817486861,7.6382127989956405,6.441869155689029
2020-04-09,15,-51.857142857142854,-54.142857142857146,-24.571428571428573,122.28571428571429,-5.142857142857143,70.3550387073544,0.09513674913097038,25.947070592451027,7.849199649795165,5.749424100743976
2020-04-10,15.714285714285714,-55.714285714285715,-54.714285714285715,-28.142857142857142,142.28571428571428,-8.857142857142858,71.0901858853182,0.06343110587469421,26.85103121516165,8.039506244218318,5.17930801082975
2020-04-11,15.428571428571429,-55.42857142857143,-54.57142857142857,-27.142857142857142,141,-7.142857142857143,70.81132977765776,0.21769684302798556,25.885600812231246,8.23668836174618,5.034645530452984
2020-04-12,15.285714285714286,-55.42857142857143,-54.285714285714285,-29.142857142857142,141.71428571428572,-8.285714285714286,71.49080700333063,0.22190319223433477,24.950390189520625,8.387834511695523,5.148270595863764
2020-04-13,16.428571428571427,-59,-56.142857142857146,-35,134,-11.857142857142858,70.1791621658115,0.1896649111917059,24.119162087912088,7.650596890004846,5.921818760949195
2020-04-14,16.428571428571427,-57.57142857142857,-56.42857142857143,-35.285714285714285,119.42857142857143,-11.857142857142858,68.71138266270592,0.19249202401881874,23.046245421245423,7.159455805911634,6.420647907992628
2020-04-15,16.714285714285715,-55.857142857142854,-56.42857142857143,-37.285714285714285,109,-14.142857142857142,69.57835988837878,0.19667477820157292,22.205471611721613,7.003072827188229,7.1495987190862955
2020-04-16,15.857142857142858,-50.857142857142854,-54.714285714285715,-34.857142857142854,95.71428571428571,-12.428571428571429,69.7999763705104,0.19461346052381687,22.26407967032967,7.0575938284657065,7.247603690305553
2020-04-17,14.571428571428571,-45.57142857142857,-52.57142857142857,-30,89.28571428571429,-8.142857142857142,68.93581780538302,0.19437214778250414,22.800366300366303,7.25426798378926,7.061093668236524
2020-04-18,14.428571428571429,-44.285714285714285,-51.285714285714285,-30.285714285714285,99.42857142857143,-9.428571428571429,66.14350414078675,0.01805022243378408,25.76247710622711,7.339298378926038,7.127302459445316
2020-04-19,14.285714285714286,-43,-50.714285714285715,-28.142857142857142,100,-8.285714285714286,64.80340752242925,0.014086258469820116,27.063836996337,7.1073024588467275,6.87031658817373
2020-04-20,12.714285714285714,-36.857142857142854,-47.42857142857143,-22.142857142857142,102.71428571428571,-4.714285714285714,66.45420117322291,0.008849235732797377,28.23438186813187,7.669723679336753,5.865463108320251
2020-04-21,12.285714285714286,-35.42857142857143,-45.57142857142857,-22.142857142857142,113.71428571428571,-5.571428571428571,66.47047964113182,0.056736408619970265,29.818704212454215,8.352057118889649,5.719283097854525
2020-04-22,11.571428571428571,-34.142857142857146,-44,-21.428571428571427,125,-5.428571428571429,64.49222739820566,0.05963216151572316,31.893699633699637,8.73936537895872,5.131279434850863
2020-04-23,11,-33,-42.57142857142857,-20.714285714285715,135.85714285714286,-5.285714285714286,63.16492696112261,0.10232839982839982,32.681048733874825,9.201373752304972,4.551452688098651
2020-04-24,10.714285714285714,-32.285714285714285,-42,-20.571428571428573,134.42857142857142,-5.142857142857143,64.16978663446055,0.11889854139854139,31.6134892100653,9.438719121131982,5.046958967533501
