Date,Residential,Workplace,Transit,Retail,Park,Grocery,Humid,Precip,Sun,Temp,Wind
2020-03-01,0,1,5,21,-5,-7,81.83967391304348,1.60536398467433,6.266666666666666,5.2984929078014185,10.372756410256429
2020-03-02,0,2,1,11,28,-5,88.02402331442974,0.5027056277056277,12.417499999999997,4.687488436632747,4.436542443064184
2020-03-03,0,2,-1,10,9,-5,92.86688720856962,2.878587606824051,2.73286231884058,4.642027058279371,3.8023072941551197
2020-03-04,0,2,1,9,16,-5,90.46550094517958,0.1965811965811966,11.456775362318847,4.244848519888992,4.342719780219778
2020-03-05,0,2,-1,10,30,-3,90.52717391304347,0.2159090909090909,9.499166666666671,3.675177304964539,3.660531135531134
2020-03-06,0,1,-2,7,11,-3,88.78434152488974,0.18640350877192988,3.0616666666666688,3.7332254085723076,6.69926540850454
2020-03-07,-1,1,7,10,47,-2,89.04619565217392,0.23277777777777783,11.93416666666667,3.90811170212766,4.129899267399269
2020-03-08,0,-2,-1,11,-7,-8,88.57155797101449,0.9111788617886177,1.4749999999999994,6.763519503546098,8.894917582417582
2020-03-09,1,0,-3,5,14,-5,93.02221793851358,1.6041770781276028,3.9213920671243314,6.385810936916759,4.6234026747470685
2020-03-10,2,0,-7,3,-6,-4,94.4981884057971,3.8030167264038233,0.32916666666666666,6.259884751773051,8.56753663003663
2020-03-11,2,-1,-10,5,25,5,81.19927536231884,1.0282738095238095,19.80288461538462,6.980718085106385,9.488873626373627
2020-03-12,12,-28,-36,-11,-16,22,81.21467391304348,2.914402173913043,9.912660256410264,6.168040780141846,13.440384615384597
2020-03-13,16,-44,-48,-28,2,-7,79.16032608695652,1.725925925925926,9.171474358974356,4.840292553191489,9.313232600732618
2020-03-14,8,-16,-36,-31,86,-9,68.40670289855072,0.01388888888888889,25.040064102564113,3.2144503546099275,4.996153846153844
2020-03-15,8,-22,-50,-33,-8,-24,79.49003623188406,0.9797473867595817,1.5336538461538451,6.798182624113475,9.30558608058608
2020-03-16,17,-50,-52,-24,50,-14,84.44584908632639,0.7760416666666667,8.069850891861764,7.048793555349986,5.4144967351489095
2020-03-17,18,-52,-55,-25,38,-4,86.08687775677379,0.061965811965811975,3.790064102564102,6.819971862473019,7.5307433508520445
2020-03-18,20,-54,-61,-41,11,-21,89.41757246376812,1.920692883895131,1.5392628205128218,7.313253546099289,7.8999542124542135
2020-03-19,19,-55,-58,-39,104,-20,81.11485507246377,0.013706140350877194,19.842147435897438,6.202996453900711,4.567170329670327
2020-03-20,21,-56,-62,-44,64,-22,71.97735507246377,0.06633771929824561,20.017628205128204,5.4721631205673775,5.113095238095236
2020-03-21,11,-27,-55,-48,85,-21,61.391304347826086,0.03179824561403504,26.722756410256412,3.0011081560283706,5.206181318681317
2020-03-22,9,-28,-60,-38,49,-25,63.227355072463766,0.06277056277056281,20.432692307692307,2.2847517730496456,5.189926739926738
2020-03-23,19,-55,-60,-36,54,-20,58.82798089591567,0.050438596491228116,27.178685897435898,2.350632656350743,5.753571428571428
2020-03-24,19,-55,-60,-36,61,-18,57.609128859483306,0.02368421052631579,24.70032051282051,3.633233117483813,6.445383420926901
2020-03-25,19,-55,-59,-37,67,-18,56.824117832388154,5.55555555555556e-4,27.129807692307693,4.689327012025903,5.357552954292086
2020-03-26,19,-55,-59,-36,91,-17,65.0606884057971,0.0038888888888888944,28.49038461538463,4.443838652482271,4.085027472527471
2020-03-27,19,-55,-61,-39,96,-18,69.89583333333333,0.027412280701754388,27.96634615384615,5.265026595744683,3.788690476190474
2020-03-28,10,-28,-56,-43,79,-14,73.27717391304348,0.01699561403508772,21.763621794871796,5.524468085106383,6.317536630036631
2020-03-29,9,-28,-60,-37,35,-22,54.925724637681164,0.3059071729957806,27.1201923076923,3.0326241134751775,8.97651098901099
2020-03-30,18,-54,-59,-33,53,-18,62.84495116572149,0.1006493506493507,23.168304069119284,4.604976102374347,6.026694139194137
2020-03-31,17,-53,-54,-23,70,-4,66.06316950220543,0.2006172839506173,21.245645206243033,3.6647702744372475,5.527858735467432
2020-04-01,19,-54,-58,-32,13,-12,82.81327639751554,0.5642156862745098,5.049908424908425,6.166761651469098,8.685858189429617
2020-04-02,20,-55,-61,-34,11,-13,78.39764492753622,0.6736839913376644,5.841346153846155,6.232446808510637,11.533653846153827
2020-04-03,19,-55,-61,-35,32,-10,67.9338768115942,0.22362869198312235,21.970352564102562,4.669636524822695,9.276602564102566
2020-04-04,10,-25,-53,-38,59,-8,82.54257246376812,0.1566455696202532,15.982371794871796,5.540647163120565,4.706593406593405
2020-04-05,7,-23,-49,-22,118,-12,67.61322463768116,5.55555555555556e-4,29.18028846153847,8.45429964539007,5.532600732600731
2020-04-06,16,-59,-52,-15,161,-5,62.22318052930057,0.2628901895206243,30.91394927536232,10.559377890841828,5.766710463449594
2020-04-07,16,-59,-51,-13,167,4,72.19384057971014,0.00611111111111111,30.433493589743584,9.01622340425532,4.053296703296706
2020-04-08,15,-60,-51,-9,131,11,70.07336956521739,0.001126126126126127,25.57211538461538,8.99485815602837,4.223626373626374
2020-04-09,22,-82,-62,-40,188,-16,69.90520636420919,0.015,27.57692307692308,7.709354764107308,6.68653846153846
2020-04-10,24,-82,-65,-60,172,-36,73.0799070573409,0.0016891891891891893,28.29807692307692,6.001782685784769,5.28578993470298
2020-04-11,8,-23,-52,-31,50,4,80.59057971014492,1.2365057296932926,9.224358974358976,6.9209219858156015,3.693956043956042
2020-04-12,6,-23,-47,-36,123,-20,72.3695652173913,0.030000000000000002,22.63381410256411,9.51232269503546,6.327976190476189
